Credit_Score,Income,Employment_Status,Assets,Loan_Amount,Loan_Term
339,2300000, Yes,5100000,6100000,6
376,5800000, Yes,2500000,16600000,18
549,8000000, No,14800000,30000000,14
587,3700000, Yes,11000000,12700000,18
861,2600000, No,0,8400000,18
409,3000000, No,6400000,7000000,12
528,2700000, No,7800000,10200000,4
691,5700000, No,8800000,19600000,8
584,1500000, No,3900000,3600000,4
459,6800000, No,14500000,20000000,4
755,8100000, Yes,0,31700000,10
688,9200000, Yes,4800000,27700000,20
384,7600000, Yes,2600000,26000000,6
869,600000, No,1400000,1600000,20
445,4700000, Yes,2100000,18700000,20
393,1400000, No,500000,5500000,6
414,9400000, Yes,8800000,24600000,10
395,9700000, No,2800000,19900000,16
815,8900000, Yes,200000,21000000,14
758,4600000, No,3900000,10500000,8
457,5600000, Yes,6900000,14500000,10
854,1000000, Yes,2600000,3200000,10
324,3500000, No,2400000,10300000,16
849,7900000, No,19400000,31500000,14
672,6100000, Yes,300000,24200000,12
859,8900000, Yes,9600000,20900000,6
584,5300000, No,5100000,15400000,8
346,1300000, No,3200000,4800000,4
635,4000000, No,6000000,12800000,18
365,8700000, No,8200000,22700000,4
856,9500000, No,24900000,20000000,16
440,9000000, Yes,17100000,20000000,2
616,7300000, Yes,15700000,23300000,2
461,7400000, Yes,5700000,25700000,2
681,3100000, No,5100000,10800000,10
485,4300000, No,11000000,9400000,2
684,2400000, Yes,5500000,8300000,6
727,5400000, No,13100000,17900000,14
784,1600000, No,1400000,5100000,6
865,9900000, Yes,26300000,20400000,4
791,5800000, No,1400000,20100000,18
866,2200000, No,4000000,8500000,16
761,5000000, No,-100000,14400000,2
572,600000, Yes,400000,2100000,18
601,2200000, No,2700000,8600000,6
820,2600000, Yes,2700000,5500000,14
598,1200000, No,1600000,4300000,8
544,3100000, No,5300000,8700000,18
561,4600000, Yes,2300000,14500000,14
547,9300000, Yes,2800000,35500000,6
504,6300000, No,10500000,13400000,2
530,5900000, No,7100000,20800000,14
614,2900000, Yes,1000000,10600000,6
351,6100000, No,11800000,22400000,18
431,5900000, Yes,3300000,19700000,10
403,4600000, Yes,200000,18400000,10
668,7000000, No,16600000,20200000,8
399,5100000, Yes,8000000,10400000,18
665,3100000, No,6200000,10600000,14
344,4100000, No,10300000,12800000,16
555,1800000, No,3900000,5400000,16
301,8200000, Yes,23800000,26900000,20
726,800000, Yes,2000000,2100000,6
689,8400000, No,5700000,23100000,6
665,8500000, No,8500000,33900000,4
608,3300000, Yes,3600000,12700000,16
335,5800000, No,4400000,12800000,20
677,4400000, No,100000,10500000,18
491,2600000, No,1700000,8500000,2
763,9600000, Yes,23000000,28100000,20
809,5200000, Yes,2400000,18100000,8
544,9700000, Yes,3500000,36400000,16
624,200000, Yes,600000,800000,14
388,6500000, No,9500000,16800000,10
644,7200000, Yes,13300000,23100000,14
600,5200000, No,7300000,18400000,14
709,6500000, No,1000000,14100000,2
642,2300000, Yes,2600000,5600000,8
423,3300000, Yes,7400000,10400000,4
900,2000000, Yes,3800000,5900000,12
415,8300000, Yes,2300000,19500000,4
645,3800000, Yes,1300000,14300000,4
742,5700000, No,700000,15600000,16
724,7300000, No,5500000,19800000,8
707,1600000, No,600000,5400000,12
780,800000, Yes,500000,2500000,4
538,6300000, No,9600000,21900000,10
706,8800000, No,22900000,17700000,14
811,7300000, No,1000000,14500000,16
849,3800000, Yes,6300000,9100000,14
880,6200000, No,15800000,16700000,10
664,3500000, Yes,9500000,9500000,4
465,1400000, Yes,0,5000000,2
786,3500000, Yes,600000,12000000,2
326,600000, Yes,400000,2000000,10
399,4100000, No,5900000,10800000,16
841,5400000, Yes,6800000,11500000,6
638,2000000, Yes,4900000,6700000,14
478,3500000, Yes,4000000,8900000,4
600,8300000, Yes,14600000,30000000,4
768,6700000, Yes,300000,15600000,16
523,1900000, No,2400000,6500000,10
327,6500000, Yes,8200000,20900000,14
799,600000, Yes,1000000,1800000,8
803,7000000, No,18700000,23000000,18
524,7700000, No,12900000,15400000,18
506,2600000, No,2300000,6600000,6
351,9200000, No,22400000,18800000,2
648,1800000, Yes,1200000,4200000,8
612,4900000, No,6100000,18500000,4
396,5700000, No,5400000,12400000,14
458,300000, No,500000,800000,2
488,1700000, Yes,100000,3400000,6
475,7000000, No,1300000,18900000,6
417,2200000, No,2000000,7000000,18
781,6800000, No,17600000,18700000,8
337,2400000, Yes,3400000,6200000,12
511,600000, Yes,300000,1800000,12
837,6200000, No,12600000,17300000,6
810,7600000, No,1300000,24600000,12
588,4800000, No,3700000,10600000,8
870,4200000, No,3200000,9200000,12
733,7200000, Yes,15600000,20700000,10
348,6400000, Yes,10000000,20300000,16
741,8900000, Yes,5600000,23000000,12
306,5100000, No,700000,14500000,12
428,6300000, Yes,15900000,19500000,18
455,6600000, No,3800000,22100000,4
356,4800000, Yes,7100000,14700000,2
594,200000, No,500000,400000,4
844,7500000, Yes,9100000,25800000,18
771,9000000, No,4800000,34700000,4
622,5400000, No,14400000,12500000,4
480,1700000, Yes,200000,4500000,20
337,4300000, No,11100000,11500000,20
698,5200000, No,14100000,11200000,6
302,4400000, No,1000000,17000000,18
349,3900000, Yes,11200000,7800000,14
482,1100000, No,2800000,3300000,10
429,2500000, No,1500000,8200000,10
471,500000, No,500000,1300000,8
895,9000000, Yes,16800000,32400000,10
757,5100000, Yes,11800000,20300000,18
777,5200000, No,7000000,13500000,2
761,4400000, Yes,8100000,8900000,4
821,1900000, No,5200000,4200000,12
662,9200000, Yes,1000000,26500000,6
350,4800000, Yes,2000000,16500000,10
321,4900000, No,1200000,10700000,20
368,4800000, Yes,9100000,10100000,4
455,9300000, No,27600000,24900000,14
744,7500000, Yes,1600000,24600000,8
806,5900000, No,11200000,16800000,4
456,9400000, No,21400000,27900000,6
719,5300000, No,1600000,13400000,8
668,3700000, No,7800000,9000000,18
494,2500000, Yes,5100000,5800000,18
841,2800000, No,700000,10800000,2
721,5400000, Yes,8200000,21400000,8
414,3100000, No,200000,9400000,10
812,4800000, No,9500000,15500000,10
832,8800000, No,1800000,17500000,20
571,4100000, No,-100000,14900000,12
459,9700000, No,28700000,37000000,14
592,6400000, Yes,2500000,24100000,6
527,3400000, No,900000,13100000,20
333,3500000, No,7600000,10200000,12
532,3200000, No,3300000,10000000,18
754,4900000, Yes,8200000,13100000,18
835,1300000, Yes,500000,4800000,4
592,2500000, No,3400000,5400000,10
553,7500000, No,11600000,27300000,20
806,700000, No,1900000,2000000,8
378,8200000, Yes,6800000,28500000,2
534,6900000, No,14500000,26200000,4
400,1500000, Yes,4200000,5900000,16
543,6300000, No,1800000,18300000,18
715,8800000, Yes,25300000,25600000,10
684,8900000, Yes,1100000,20700000,6
346,2100000, Yes,5500000,6100000,8
669,9200000, Yes,9900000,29200000,6
566,3600000, No,10500000,8000000,12
361,8600000, Yes,25800000,23600000,2
333,3000000, No,3200000,8000000,6
335,5200000, Yes,9500000,16300000,8
558,7200000, Yes,0,20400000,10
436,4000000, Yes,10400000,15600000,12
371,2400000, No,6100000,5200000,2
515,5500000, Yes,6800000,18400000,10
599,9000000, Yes,12900000,24300000,10
728,7900000, Yes,18600000,24000000,20
679,6200000, Yes,18600000,21600000,20
399,7900000, Yes,23200000,29200000,4
819,1200000, No,1400000,4500000,6
308,4700000, No,11800000,11700000,6
730,5900000, Yes,12600000,15600000,2
312,1400000, Yes,4000000,5100000,14
740,4700000, Yes,2200000,12800000,16
522,7600000, Yes,21500000,20000000,10
702,7200000, No,15900000,16900000,4
447,1400000, Yes,3600000,4300000,16
829,1400000, No,800000,2900000,4
727,7900000, No,20200000,18500000,18
509,7600000, Yes,8500000,18700000,14
745,9600000, Yes,2500000,34200000,2
513,2300000, No,4600000,6600000,18
372,8100000, No,19100000,18500000,6
411,300000, Yes,600000,700000,4
495,4700000, No,11300000,10800000,20
827,1100000, No,2400000,2500000,4
820,8600000, No,14400000,25100000,6
660,8700000, Yes,25500000,28100000,10
563,2200000, No,900000,8600000,4
883,500000, Yes,900000,1400000,10
387,9100000, Yes,25300000,22000000,12
613,2200000, No,500000,8700000,12
335,2200000, Yes,2800000,8000000,14
795,9600000, Yes,9500000,34500000,2
369,6500000, Yes,9600000,13900000,8
888,2400000, Yes,2700000,7400000,18
742,5500000, No,12900000,12300000,6
874,5000000, No,3000000,14400000,4
691,2700000, No,2000000,8100000,16
762,8500000, Yes,12700000,30300000,12
324,4400000, No,2200000,10700000,18
777,500000, No,900000,1800000,20
662,8300000, No,6100000,21400000,2
462,6000000, Yes,2100000,13000000,12
609,4000000, Yes,2100000,10400000,14
590,4400000, Yes,900000,11700000,20
779,4400000, Yes,7200000,15800000,18
641,1900000, Yes,1000000,5000000,14
752,5000000, Yes,14600000,18400000,12
305,8000000, No,22200000,23700000,10
546,8200000, No,10800000,20700000,10
833,7000000, No,13700000,24200000,8
421,2400000, No,3200000,8800000,18
639,6600000, No,3200000,18800000,4
735,3200000, No,1500000,6900000,20
377,2600000, Yes,100000,5400000,2
310,6900000, No,4500000,15600000,20
695,4800000, No,11300000,14000000,2
355,300000, Yes,700000,1200000,4
525,4300000, Yes,2100000,14100000,12
330,700000, No,1300000,2400000,20
625,9400000, No,28200000,25800000,14
644,800000, Yes,600000,2900000,10
865,4400000, No,8200000,14900000,4
661,4700000, Yes,8500000,14800000,6
884,2300000, No,1400000,5000000,8
803,8500000, Yes,500000,26700000,10
800,7600000, No,19700000,28300000,12
796,3200000, No,6200000,12600000,18
716,2400000, No,1500000,5000000,4
479,500000, Yes,1500000,1100000,18
810,8500000, Yes,25200000,28300000,2
568,8900000, Yes,18800000,20900000,18
842,2800000, No,0,5600000,8
806,2900000, Yes,5700000,7000000,4
722,4900000, Yes,9200000,17700000,8
442,9600000, No,25800000,20700000,14
360,3300000, Yes,4500000,9800000,6
461,2800000, No,1600000,5900000,4
735,7800000, No,9700000,22200000,10
761,2500000, Yes,6300000,8400000,12
653,4400000, No,6800000,10600000,20
726,7900000, No,5000000,30800000,4
617,8900000, No,8400000,22600000,18
460,5600000, No,3400000,13400000,2
306,1400000, No,3200000,3300000,8
471,500000, Yes,500000,1400000,4
628,5100000, Yes,6900000,15300000,4
404,9800000, No,24400000,25600000,10
804,8600000, Yes,15400000,21600000,16
804,1600000, No,900000,3900000,20
502,2500000, Yes,3400000,6700000,2
861,9500000, No,24700000,22600000,6
555,3000000, Yes,6600000,7800000,14
351,5100000, No,1700000,13600000,18
358,7600000, Yes,20200000,23600000,6
836,8800000, No,17300000,18800000,14
554,1100000, Yes,2800000,2900000,4
443,8700000, No,11800000,30500000,2
725,6100000, No,17400000,23600000,4
818,1900000, Yes,4800000,7000000,14
670,9900000, No,19400000,38700000,6
414,5800000, No,7900000,21100000,6
887,9500000, Yes,21800000,37000000,8
409,7900000, Yes,17100000,26600000,12
679,1300000, Yes,2700000,4500000,14
478,700000, Yes,600000,2600000,18
752,600000, No,1100000,1200000,2
616,9400000, No,15400000,33000000,4
842,3800000, Yes,3700000,12500000,14
840,7800000, Yes,1200000,26300000,20
430,7800000, Yes,2000000,27700000,6
351,2700000, No,1100000,7000000,4
347,600000, No,0,2300000,4
576,8000000, Yes,18800000,28800000,10
799,4000000, Yes,4400000,11000000,8
550,3300000, Yes,6000000,10800000,2
878,5800000, No,8400000,13300000,4
895,2400000, Yes,6800000,4800000,12
603,7600000, No,3200000,29700000,6
325,2500000, Yes,5800000,6900000,12
393,3300000, No,5700000,11800000,4
612,9800000, No,10700000,30300000,2
553,1000000, Yes,2500000,3800000,8
389,2500000, Yes,7300000,8800000,14
782,1900000, No,100000,6800000,4
493,3100000, No,8700000,8500000,12
629,6000000, Yes,2500000,11900000,2
419,6500000, No,1600000,21600000,10
444,5900000, Yes,14300000,15800000,2
301,6500000, Yes,9200000,15800000,16
479,3800000, Yes,1100000,11200000,20
424,3000000, Yes,1800000,11400000,10
469,4300000, No,200000,16900000,18
897,3500000, Yes,7900000,8300000,2
477,300000, No,700000,500000,2
509,600000, Yes,600000,1400000,16
752,800000, Yes,2300000,1700000,4
875,5600000, Yes,16700000,19100000,14
343,1800000, Yes,3400000,3600000,4
819,6800000, No,16500000,20800000,20
433,4200000, Yes,3300000,16800000,2
768,200000, Yes,300000,400000,6
714,8500000, Yes,17000000,31800000,6
531,2800000, Yes,2900000,10100000,16
529,3600000, Yes,3500000,8600000,6
448,6200000, No,3300000,19500000,20
584,2700000, No,6500000,10000000,2
501,6800000, No,3900000,22900000,4
848,6300000, No,10200000,24500000,18
586,8800000, No,17600000,19100000,6
386,5900000, No,16300000,13000000,2
301,9800000, Yes,6700000,37900000,18
653,3300000, No,4700000,8300000,6
448,300000, Yes,700000,500000,14
696,4800000, Yes,1400000,11600000,16
707,7500000, No,9700000,28300000,16
429,8600000, No,5500000,21700000,4
631,8900000, No,4200000,21100000,6
446,9600000, Yes,22900000,29600000,4
705,7700000, Yes,6100000,18100000,18
709,7000000, Yes,10300000,15200000,2
739,7800000, Yes,1900000,19500000,14
336,5100000, No,-100000,11000000,6
898,9400000, No,18200000,32600000,4
558,600000, Yes,1300000,2100000,6
589,5100000, No,11200000,13300000,4
301,3800000, Yes,2300000,14400000,2
516,5300000, Yes,2200000,21200000,14
315,1100000, No,1300000,3600000,12
546,6400000, No,10600000,14400000,10
559,5100000, Yes,11000000,14500000,14
350,5300000, Yes,15800000,16900000,2
583,6700000, No,9300000,18700000,8
874,4000000, No,4400000,9400000,8
808,3900000, Yes,5800000,11600000,8
487,1600000, Yes,4300000,4900000,16
870,2700000, No,5400000,7800000,14
840,1400000, No,1700000,3800000,8
682,8000000, Yes,2500000,19200000,18
668,8200000, Yes,23800000,28900000,10
781,4800000, Yes,4800000,10300000,8
375,8100000, No,4100000,19000000,6
857,5900000, No,2600000,14900000,14
823,8100000, Yes,18200000,32100000,6
686,1400000, No,1800000,5000000,8
721,1600000, No,3000000,6300000,2
545,4600000, No,800000,9400000,18
523,2900000, No,900000,8900000,6
607,8600000, Yes,13600000,24900000,20
428,3800000, No,6500000,14900000,20
666,8200000, No,13100000,20300000,4
704,3200000, No,3400000,10100000,20
794,8100000, Yes,5400000,23800000,10
430,9800000, Yes,3200000,23300000,12
615,200000, No,500000,500000,20
360,6600000, No,6800000,14100000,20
458,9100000, No,6100000,18300000,14
887,5500000, No,8800000,20400000,12
735,7200000, No,14100000,27400000,8
379,2400000, No,3700000,5600000,16
544,9600000, No,4000000,25500000,20
721,5800000, Yes,1100000,16700000,12
676,2300000, No,6000000,6000000,8
342,300000, No,800000,1200000,4
566,9900000, No,3500000,27000000,16
355,3500000, No,8700000,14000000,2
605,4800000, No,5700000,18500000,20
525,1600000, No,300000,5200000,16
403,800000, Yes,500000,2500000,12
727,9000000, Yes,18800000,33500000,18
529,8300000, No,18300000,28900000,12
415,2800000, No,2200000,6100000,18
879,6400000, Yes,10000000,17300000,10
649,6000000, Yes,4800000,12600000,16
395,2900000, No,5400000,9800000,16
488,6500000, No,3300000,24100000,20
569,200000, Yes,200000,400000,8
817,8400000, No,1800000,24600000,14
706,6100000, Yes,16000000,17800000,20
553,8000000, Yes,6800000,31200000,8
464,900000, Yes,2300000,1800000,14
729,7300000, No,13100000,20000000,6
363,3700000, Yes,4800000,7400000,12
565,5200000, No,3500000,17200000,12
421,7200000, No,3500000,21000000,14
512,9400000, Yes,13100000,34200000,10
730,3400000, Yes,2500000,12400000,2
627,600000, No,1800000,2300000,8
434,3300000, Yes,3000000,10000000,16
410,5900000, Yes,11900000,14300000,2
624,1300000, No,2400000,3600000,16
656,5700000, Yes,13000000,16900000,4
758,7700000, No,7300000,27300000,16
336,7000000, Yes,15000000,23500000,18
378,8100000, No,5200000,21900000,18
620,1900000, Yes,4700000,4200000,4
593,4500000, No,-100000,9100000,18
710,9600000, Yes,23800000,34000000,12
753,5400000, Yes,1900000,20700000,8
454,7800000, Yes,16100000,27200000,16
619,8200000, Yes,17200000,19100000,8
367,8900000, No,22200000,28500000,6
384,1400000, No,200000,3100000,20
610,1700000, No,3100000,5900000,16
802,5300000, No,9800000,19500000,12
858,6500000, No,15400000,25200000,10
599,5900000, No,4700000,14000000,8
395,9800000, Yes,18700000,27000000,2
380,7700000, Yes,11500000,16200000,6
803,7900000, No,20000000,27100000,10
809,3500000, No,7100000,8900000,20
722,2400000, No,6100000,6600000,2
392,9900000, No,7900000,35700000,10
545,3900000, No,5900000,14500000,8
799,7300000, Yes,21500000,28500000,10
727,6400000, Yes,15400000,21900000,12
530,7100000, No,7100000,19800000,18
637,8800000, No,13700000,19000000,14
561,7400000, No,21300000,21000000,4
421,4400000, No,9300000,12000000,20
459,8600000, Yes,12000000,30300000,14
828,6900000, No,14800000,26000000,14
679,9600000, No,23400000,27500000,20
455,8100000, Yes,22300000,25700000,8
879,2600000, No,2800000,9400000,18
636,9300000, Yes,4700000,26100000,14
426,2100000, Yes,400000,5600000,16
508,9000000, Yes,16600000,21500000,14
768,7000000, Yes,8600000,19200000,4
667,2200000, No,6300000,6400000,20
440,7500000, Yes,8200000,28200000,2
366,8300000, Yes,22000000,16800000,2
383,300000, No,600000,600000,2
603,300000, Yes,800000,800000,4
728,3900000, No,4700000,14900000,4
549,6600000, No,10800000,20300000,6
855,4100000, No,11500000,10700000,8
461,1800000, Yes,2800000,5300000,12
379,7000000, Yes,2000000,16100000,16
559,5100000, Yes,7800000,13700000,6
816,300000, Yes,600000,600000,8
560,4300000, Yes,10000000,11400000,2
645,3200000, Yes,5200000,12000000,14
551,4200000, Yes,10600000,11500000,6
515,9600000, Yes,4300000,22900000,8
657,1300000, No,3200000,3600000,10
682,2400000, No,3100000,9300000,2
588,600000, No,1600000,1600000,10
359,9600000, Yes,2100000,38000000,10
766,400000, No,900000,1200000,4
469,5900000, No,14200000,19900000,14
618,700000, Yes,1300000,1400000,10
711,8600000, Yes,22000000,17700000,20
549,9000000, Yes,2000000,34000000,4
754,5100000, Yes,1700000,20400000,6
461,500000, Yes,1300000,1500000,6
837,1600000, No,3800000,3800000,10
459,9800000, Yes,1000000,23900000,14
614,7800000, No,22000000,29700000,20
373,6500000, No,5600000,24000000,16
512,7500000, Yes,16500000,26500000,12
781,8900000, Yes,16500000,23400000,18
305,1800000, Yes,600000,5800000,14
447,7600000, Yes,1300000,27800000,6
757,1200000, Yes,1900000,4600000,6
723,2700000, Yes,2800000,10400000,2
463,4600000, Yes,1200000,10900000,12
699,6900000, No,12800000,18700000,10
308,8400000, Yes,8100000,25200000,2
702,300000, No,300000,500000,18
456,9500000, Yes,10200000,37500000,4
651,1900000, Yes,700000,5900000,8
840,4200000, No,4500000,14500000,20
848,2200000, Yes,5100000,7900000,18
727,7100000, Yes,7700000,19700000,4
335,3500000, No,6300000,11600000,10
304,400000, No,900000,800000,18
712,8800000, Yes,10500000,34400000,2
737,1800000, No,5000000,6600000,10
690,7600000, Yes,13900000,29300000,14
888,1000000, Yes,2000000,3200000,4
839,8200000, Yes,9200000,27200000,10
333,3600000, Yes,8800000,12400000,8
862,9400000, No,21500000,23700000,18
309,2600000, No,6400000,9100000,4
823,9500000, No,16300000,30700000,10
649,3500000, Yes,2700000,11700000,14
726,9800000, Yes,9400000,35700000,10
712,800000, No,400000,3100000,18
701,9700000, No,12100000,37300000,20
655,6200000, No,6500000,21300000,12
385,4400000, Yes,800000,16600000,18
777,1800000, No,5100000,3800000,4
696,1700000, No,300000,5300000,14
496,3900000, No,2500000,14100000,16
659,2200000, Yes,3400000,7900000,6
542,6300000, Yes,16800000,17700000,2
729,2200000, No,3900000,8700000,18
744,8100000, No,20300000,28400000,6
749,6800000, No,18000000,17000000,2
755,4700000, No,12300000,14800000,20
506,2200000, Yes,1600000,5300000,2
391,3500000, Yes,6100000,13000000,6
898,3500000, Yes,3100000,11600000,10
527,500000, No,100000,1500000,12
470,9900000, No,9500000,35800000,20
694,8400000, No,5300000,25000000,12
325,5000000, No,13100000,18800000,14
880,5500000, Yes,300000,13400000,10
459,3000000, Yes,6000000,11900000,14
323,9400000, Yes,5100000,21400000,10
739,7600000, No,22100000,29000000,8
724,5500000, Yes,11900000,16300000,10
487,3100000, No,8400000,7400000,18
439,7700000, No,13900000,27700000,4
655,9800000, No,19900000,25400000,2
443,3200000, No,3300000,9200000,14
489,700000, No,100000,2600000,20
427,3100000, Yes,3100000,8600000,14
417,4500000, Yes,9800000,10500000,20
842,8900000, Yes,16200000,24800000,18
307,5900000, No,15500000,23200000,2
428,1500000, No,4500000,4500000,18
415,6300000, Yes,15500000,15200000,16
405,6500000, Yes,10400000,18200000,20
683,8000000, No,10300000,31500000,18
742,3300000, Yes,300000,10600000,14
530,3900000, No,10900000,10000000,10
844,1600000, No,4500000,3500000,10
715,3900000, Yes,5000000,13900000,18
476,8000000, Yes,21700000,26300000,12
721,2200000, No,1800000,4800000,6
339,7600000, No,20400000,30300000,12
461,2700000, Yes,4500000,6800000,6
556,6300000, Yes,7000000,23200000,12
483,7700000, No,15100000,18700000,8
406,4500000, No,4100000,17200000,18
513,9400000, Yes,24200000,24800000,14
574,4600000, No,3400000,12600000,16
692,5200000, Yes,3800000,15700000,6
867,8000000, Yes,17700000,29800000,18
875,9900000, Yes,19600000,38500000,2
597,8500000, Yes,16600000,18600000,10
513,4900000, Yes,14200000,12000000,20
354,7000000, Yes,18200000,24200000,2
647,9600000, No,11800000,25900000,18
875,9700000, No,11500000,23700000,6
819,6200000, No,7500000,14300000,20
521,4100000, Yes,11900000,9600000,10
761,6100000, Yes,4500000,19900000,20
572,700000, No,1400000,1900000,18
571,6400000, No,19000000,24100000,12
891,3800000, Yes,4600000,7800000,20
895,4900000, No,8600000,14800000,12
580,2100000, No,3800000,6600000,20
605,6200000, No,10000000,23400000,8
705,1600000, No,2400000,5100000,8
423,1300000, Yes,900000,5000000,20
846,7300000, Yes,9800000,22500000,2
542,2100000, No,700000,5000000,4
631,600000, No,600000,2400000,18
318,7000000, No,4300000,24500000,18
541,3000000, Yes,5800000,6800000,10
782,900000, No,0,2900000,20
888,9600000, No,12600000,35000000,2
747,1500000, No,200000,3600000,14
641,5000000, Yes,4300000,18900000,6
640,500000, Yes,400000,1700000,4
324,7600000, No,12500000,28100000,12
359,5500000, No,4200000,21200000,20
338,6600000, Yes,2400000,23300000,12
384,1400000, No,3100000,3200000,14
545,8800000, Yes,19100000,26600000,16
610,6200000, No,10200000,24200000,18
840,8300000, Yes,12600000,27900000,18
630,2400000, No,5100000,8100000,6
508,9100000, No,12800000,31200000,4
535,9500000, Yes,800000,34900000,4
717,1200000, No,3100000,3400000,20
735,7700000, Yes,1200000,19300000,8
528,7800000, Yes,5800000,22000000,20
350,9400000, Yes,3300000,20000000,4
422,1700000, No,3400000,5700000,12
496,4000000, No,-100000,13700000,6
794,4200000, No,7300000,15500000,18
719,2400000, No,6000000,7700000,6
630,2700000, Yes,3900000,6100000,14
843,600000, Yes,1400000,1800000,4
764,4600000, No,7700000,15600000,2
662,7200000, No,13100000,17700000,4
311,4700000, No,12800000,15500000,16
606,4300000, No,9900000,10100000,2
874,4700000, No,10800000,10200000,16
370,8700000, Yes,17600000,30000000,4
414,7000000, No,19700000,20500000,10
800,600000, No,1200000,1100000,10
779,6800000, No,13800000,16900000,12
553,6400000, No,11700000,14100000,20
445,7600000, No,4800000,29900000,18
496,9000000, No,16400000,21400000,8
650,2400000, Yes,5100000,5900000,10
783,6800000, No,20000000,17900000,6
535,3500000, Yes,3100000,13500000,10
415,8900000, Yes,13500000,34000000,20
709,6000000, No,8900000,15300000,8
819,700000, No,1600000,2500000,14
841,6800000, Yes,10500000,17300000,18
700,5300000, Yes,15800000,10700000,12
881,1400000, Yes,2800000,4200000,4
804,1400000, Yes,1900000,4600000,4
653,9200000, No,22700000,21700000,6
663,7900000, Yes,19600000,29200000,2
495,4500000, No,10300000,17500000,10
335,3800000, No,100000,9800000,8
618,1500000, Yes,3400000,4900000,6
480,1200000, No,3000000,2400000,12
843,1700000, No,4800000,4900000,18
483,5200000, No,11800000,14100000,16
548,1600000, No,2200000,5100000,12
379,6600000, Yes,6500000,16000000,16
771,9400000, Yes,10200000,26600000,20
353,300000, Yes,600000,500000,2
668,4600000, No,6500000,11500000,16
387,6100000, Yes,7100000,21300000,2
789,1500000, Yes,3600000,4100000,12
855,400000, Yes,-100000,900000,2
751,8700000, No,7100000,33600000,14
739,7000000, No,1600000,21600000,12
492,4700000, No,1000000,13100000,14
896,7600000, Yes,3700000,23800000,16
545,9200000, Yes,25700000,24500000,4
891,9400000, No,13900000,36800000,20
848,4800000, No,1300000,15100000,6
884,600000, Yes,600000,2400000,12
439,4900000, Yes,10300000,14300000,14
586,3300000, Yes,7500000,8500000,12
308,9100000, Yes,14500000,18800000,20
300,6100000, No,300000,23500000,16
741,8400000, Yes,21500000,19600000,2
698,7900000, No,16500000,31400000,8
733,6100000, Yes,12100000,22300000,10
571,2000000, Yes,1700000,4200000,16
490,9900000, Yes,10500000,29900000,20
451,9500000, No,19000000,25400000,16
559,1900000, Yes,3600000,6800000,6
577,6900000, Yes,12500000,21400000,10
613,1500000, Yes,4400000,5000000,4
785,1900000, No,1000000,3800000,20
690,2300000, Yes,5500000,6000000,8
351,7800000, No,19000000,17100000,14
447,400000, No,0,1000000,10
708,9400000, Yes,21200000,19200000,20
549,9100000, No,25500000,21700000,12
797,9000000, Yes,4100000,18800000,8
537,7100000, No,13700000,14300000,14
828,800000, No,1700000,2500000,12
471,4500000, Yes,3200000,9600000,14
336,8500000, No,8500000,25400000,4
424,2500000, Yes,4700000,9800000,16
440,1500000, No,800000,3300000,18
583,6200000, No,3700000,17300000,8
480,1300000, Yes,2900000,2900000,6
670,6600000, No,4600000,25800000,10
329,5300000, Yes,8800000,13700000,6
754,1400000, No,3500000,3000000,6
588,2900000, Yes,400000,7800000,18
551,6500000, No,5300000,16500000,4
316,8300000, No,20200000,18900000,4
382,8900000, Yes,0,32200000,12
717,5300000, No,7000000,15000000,6
676,2800000, No,3500000,7300000,6
667,8000000, No,6000000,27800000,6
821,3900000, No,1600000,10500000,20
345,6200000, No,9300000,20100000,20
442,5900000, Yes,9500000,19200000,10
672,6000000, Yes,2000000,23300000,12
508,9100000, Yes,19000000,29300000,2
615,3400000, Yes,7000000,12300000,10
689,1800000, Yes,3200000,4400000,8
747,300000, No,100000,1200000,18
412,9000000, Yes,0,22800000,10
703,6400000, No,6300000,16900000,2
884,5800000, No,1200000,22200000,16
651,2600000, Yes,1000000,8600000,18
793,6600000, No,16700000,17300000,14
407,6100000, No,9800000,21800000,4
390,4100000, No,800000,11100000,8
469,300000, Yes,600000,1000000,12
373,4700000, No,6800000,10400000,6
304,1500000, Yes,2400000,5800000,2
833,2700000, No,4600000,8300000,8
302,6900000, No,18700000,20900000,2
397,7600000, No,11000000,28700000,6
891,4100000, No,4900000,10000000,6
457,4100000, No,700000,12200000,2
657,1600000, No,200000,3200000,16
480,400000, Yes,200000,1400000,2
840,4400000, Yes,3600000,17300000,20
866,3800000, Yes,6000000,8000000,12
619,4300000, No,4100000,17000000,8
748,9000000, Yes,7900000,33500000,2
881,9500000, Yes,27000000,25500000,12
829,6900000, Yes,14300000,13900000,8
312,4300000, No,4800000,11100000,6
467,6600000, No,15200000,21400000,10
650,5200000, Yes,5400000,14300000,18
711,400000, Yes,100000,1100000,6
886,1300000, No,2800000,4100000,18
494,9700000, No,5300000,28400000,4
741,5400000, Yes,1300000,10900000,14
876,1200000, No,400000,3300000,12
610,7000000, Yes,14300000,26400000,14
778,7600000, No,12900000,26000000,6
571,700000, Yes,200000,1800000,14
554,7500000, Yes,12500000,25100000,18
712,2300000, Yes,6800000,6200000,8
695,5600000, Yes,9500000,11500000,4
366,5400000, Yes,3700000,10900000,20
426,1800000, Yes,5000000,5500000,10
320,2900000, No,5100000,6900000,10
543,1400000, Yes,1500000,4600000,8
